ZipCodes,City
90001,Agoura Hills
90002,Alhambra
90003,Arcadia
90004,Artesia
90005,Avalon
90006,Azusa
90007,Baldwin Park
90008,Bell
90009,Bell Gardens
90010,Bellflower
90011,Beverly Hills
90012,Bradbury
90013,Burbank
90014,Calabasas
90015,Carson
90016,Cerritos
90017,Claremont
90018,Commerce
90019,Compton
90020,Covina
90021,Cudahy
90022,Culver City
90023,Diamond Bar
90024,Downey
90025,Duarte
90026,El Monte
90027,El Segundo
90028,Gardena
90029,Glendale
90030,Glendora
90031,Hawaiian Gardens
90032,Hawthorne
90033,Hermosa Beach
90034,Hidden Hills
90035,Huntington Park
90036,Industry
90037,Inglewood
90038,Irwindale
90039,La Cañada Flintridge
90040,La Habra Heights
90041,La Mirada
90042,La Puente
90043,La Verne
90044,Lakewood
90045,Lancaster
90046,Lawndale
90047,Lomita
90048,Long Beach
90049,Los Angeles
90050,Lynwood
90051,Malibu
90052,Manhattan Beach
90053,Maywood
90054,Monrovia
90055,Montebello
90056,Monterey Park
90057,Norwalk
90058,Palmdale
90059,Palos Verdes Estates
90060,Paramount
90061,Pasadena
90062,Pico Rivera
90063,Pomona
90064,Rancho Palos Verdes
90065,Redondo Beach
90066,Rolling Hills
90067,Rolling Hills Estates
90068,Rosemead
90069,San Dimas
90070,San Fernando
90071,San Gabriel
90072,San Marino
90073,Santa Clarita
90074,Santa Fe Springs
90075,Santa Monica
90076,Sierra Madre
90077,Signal Hill
90078,South El Monte
90079,South Gate
90080,South Pasadena
90081,Temple City
90082,Torrance
90083,Vernon
90084,Walnut
90086,West Covina
90087,West Hollywood
90088,Westlake Village
90089,Whittier
90090,
90091,
90093,
90094,
90095,
90096,
90099,
90103,
90189,
90201,
90202,
90209,
90210,
90211,
90212,
90213,
90220,
90221,
90222,
90223,
90224,
90230,
90231,
90232,
90233,
90239,
90240,
90241,
90242,
90245,
90247,
90248,
90249,
90250,
90251,
90254,
90255,
90260,
90261,
90262,
90263,
90264,
90265,
90266,
90267,
90270,
90272,
90274,
90275,
90277,
90278,
90280,
90290,
90291,
90292,
90293,
90294,
90295,
90296,
90301,
90302,
90303,
90304,
90305,
90306,
90307,
90308,
90309,
90310,
90311,
90312,
90313,
90397,
90398,
90401,
90402,
90403,
90404,
90405,
90406,
90407,
90408,
90409,
90410,
90411,
90501,
90502,
90503,
90504,
90505,
90506,
90507,
90508,
90509,
90510,
90601,
90602,
90603,
90604,
90605,
90606,
90607,
90608,
90609,
90610,
90612,
90631,
90637,
90638,
90639,
90640,
90650,
90651,
90652,
90659,
90660,
90661,
90662,
90670,
90671,
90701,
90702,
90703,
90704,
90706,
90707,
90710,
90711,
90712,
90713,
90714,
90715,
90716,
90717,
90723,
90731,
90732,
90733,
90734,
90744,
90745,
90746,
90747,
90748,
90749,
90755,
90801,
90802,
90803,
90804,
90805,
90806,
90807,
90808,
90809,
90810,
90813,
90814,
90815,
90822,
90831,
90832,
90833,
90834,
90835,
90840,
90842,
90844,
90845,
90846,
90847,
90848,
90853,
90888,
90895,
90899,
